# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000342415.1	Primary Assembly	chromosome	1	NC_021366.1	2531	3955	-						15803496	BEWA_017460	1425		partial
mRNA		GCF_000342415.1	Primary Assembly	chromosome	1	NC_021366.1	2531	3955	-	XM_004828514.1		XP_004828571.1	hypothetical protein		15803496	BEWA_017460	1425	1425	partial
CDS	with_protein	GCF_000342415.1	Primary Assembly	chromosome	1	NC_021366.1	2531	3955	-	XP_004828571.1		XM_004828514.1	hypothetical protein		15803496	BEWA_017460	1425	474	
gene	protein_coding	GCF_000342415.1	Primary Assembly	chromosome	1	NC_021366.1	5352	7274	+						15806107	BEWA_017470	1923		partial
mRNA		GCF_000342415.1	Primary Assembly	chromosome	1	NC_021366.1	5352	7274	+	XM_004828515.1		XP_004828572.1	hypothetical protein		15806107	BEWA_017470	1923	1923	partial
CDS	with_protein	GCF_000342415.1	Primary Assembly	chromosome	1	NC_021366.1	5352	7274	+	XP_004828572.1		XM_004828515.1	hypothetical protein		15806107	BEWA_017470	1923	640	
gene	protein_coding	GCF_000342415.1	Primary Assembly	chromosome	1	NC_021366.1	7885	8666	+						15807007	BEWA_017480	782		
mRNA		GCF_000342415.1	Primary Assembly	chromosome	1	NC_021366.1	7885	8666	+	XM_004828516.1		XP_004828573.1	Cytochrome b5-like Heme/Steroid binding domain containing protein		15807007	BEWA_017480	782	782	
CDS	with_protein	GCF_000342415.1	Primary Assembly	chromosome	1	NC_021366.1	7951	8415	+	XP_004828573.1		XM_004828516.1	Cytochrome b5-like Heme/Steroid binding domain containing protein		15807007	BEWA_017480	465	154	
gene	protein_coding	GCF_000342415.1	Primary Assembly	chromosome	1	NC_021366.1	10079	14635	+						15806244	BEWA_017490	4557		partial
mRNA		GCF_000342415.1	Primary Assembly	chromosome	1	NC_021366.1	10079	14635	+	XM_004828517.1		XP_004828574.1	ABC transporter, ATP-binding protein domain containing protein		15806244	BEWA_017490	4557	4557	partial
CDS	with_protein	GCF_000342415.1	Primary Assembly	chromosome	1	NC_021366.1	10079	14635	+	XP_004828574.1		XM_004828517.1	ABC transporter, ATP-binding protein domain containing protein		15806244	BEWA_017490	4557	1518	
