# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	244	1932	-						9834635	OT_ostta01g00010	1689		partial;old_locus_tag=Ot01g00010
mRNA		GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	244	1932	-	XM_003074014.1		XP_003074060.1	unnamed product		9834635	OT_ostta01g00010	1689	1689	partial
CDS	with_protein	GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	244	1932	-	XP_003074060.1		XM_003074014.1	unnamed product		9834635	OT_ostta01g00010	1689	562	
gene	protein_coding	GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	2077	4029	+						9832483	OT_ostta01g00020	1953		partial;old_locus_tag=Ot01g00020
mRNA		GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	2077	4029	+	XM_003074015.1		XP_003074061.1	6-phosphofructo-2-kinase		9832483	OT_ostta01g00020	1953	1953	partial
CDS	with_protein	GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	2077	4029	+	XP_003074061.1		XM_003074015.1	6-phosphofructo-2-kinase		9832483	OT_ostta01g00020	1953	650	
gene	protein_coding	GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	4157	5299	+						9832502	OT_ostta01g00030	1143		partial;old_locus_tag=Ot01g00030
mRNA		GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	4157	5299	+	XM_003074016.1		XP_003074062.1	unnamed product		9832502	OT_ostta01g00030	1143	1143	partial
CDS	with_protein	GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	4157	5299	+	XP_003074062.1		XM_003074016.1	unnamed product		9832502	OT_ostta01g00030	1143	380	
gene	protein_coding	GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	5392	7041	-						9832501	OT_ostta01g00040	1650		partial;old_locus_tag=Ot01g00040
mRNA		GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	5392	7041	-	XM_003074017.1		XP_003074063.1	Malic enzyme, NAD-binding		9832501	OT_ostta01g00040	1650	1650	partial
CDS	with_protein	GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	5392	7041	-	XP_003074063.1		XM_003074017.1	Malic enzyme, NAD-binding		9832501	OT_ostta01g00040	1650	549	
gene	protein_coding	GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	7386	9605	-						9832500	OT_ostta01g00050	2220		partial;old_locus_tag=Ot01g00050
mRNA		GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	7386	9605	-	XM_003074018.2		XP_003074064.2	Cation/H+ exchanger		9832500	OT_ostta01g00050	2220	2220	partial
CDS	with_protein	GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	7386	9605	-	XP_003074064.2		XM_003074018.2	Cation/H+ exchanger		9832500	OT_ostta01g00050	2220	739	
gene	protein_coding	GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	9780	10412	-						9832498	OT_ostta01g00060	633		partial;old_locus_tag=Ot01g00060
mRNA		GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	9780	10412	-	XM_003074019.2		XP_003074065.2	NUDIX hydrolase domain-like		9832498	OT_ostta01g00060	633	633	partial
CDS	with_protein	GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	9780	10412	-	XP_003074065.2		XM_003074019.2	NUDIX hydrolase domain-like		9832498	OT_ostta01g00060	633	210	
gene	protein_coding	GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	11358	12455	+						9832497	OT_ostta01g00070	1098		partial;old_locus_tag=Ot01g00080
mRNA		GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	11358	12455	+	XM_003074021.1		XP_003074067.1	Voltage-dependent potassium channel		9832497	OT_ostta01g00070	1098	1098	partial
CDS	with_protein	GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	11358	12455	+	XP_003074067.1		XM_003074021.1	Voltage-dependent potassium channel		9832497	OT_ostta01g00070	1098	365	
gene	protein_coding	GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	12585	12848	-						9832495	OT_ostta01g00080	264		partial;old_locus_tag=Ot01g00090
mRNA		GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	12585	12848	-	XM_003074022.1		XP_003074068.1	unnamed product		9832495	OT_ostta01g00080	264	264	partial
CDS	with_protein	GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	12585	12848	-	XP_003074068.1		XM_003074022.1	unnamed product		9832495	OT_ostta01g00080	264	87	
gene	protein_coding	GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	13009	15890	+						9832499	OT_ostta01g00090	2882		partial;old_locus_tag=Ot01g00100
mRNA		GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	13009	15890	+	XM_022985208.1		XP_022838113.1	Ribonucleotide reductase R1 subunit, N-terminal		9832499	OT_ostta01g00090	2514	2514	partial
CDS	with_protein	GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	13009	15890	+	XP_022838113.1		XM_022985208.1	Ribonucleotide reductase R1 subunit, N-terminal		9832499	OT_ostta01g00090	2514	837	
gene	protein_coding	GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	16094	20050	+						9832453	OT_ostta01g00100	3957		partial;old_locus_tag=Ot01g00110
mRNA		GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	16094	20050	+	XM_022985209.1		XP_022838114.1	Exonuclease, RNase T/DNA polymerase III		9832453	OT_ostta01g00100	3957	3957	partial
CDS	with_protein	GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	16094	20050	+	XP_022838114.1		XM_022985209.1	Exonuclease, RNase T/DNA polymerase III		9832453	OT_ostta01g00100	3957	1318	
gene	protein_coding	GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	20110	20694	-						34945475	OT_ostta01g00110	585		partial
mRNA		GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	20110	20694	-	XM_022985213.1		XP_022838115.1	unnamed product		34945475	OT_ostta01g00110	585	585	partial
CDS	with_protein	GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	20110	20694	-	XP_022838115.1		XM_022985213.1	unnamed product		34945475	OT_ostta01g00110	585	194	
gene	protein_coding	GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	21003	22493	+						9834931	OT_ostta01g00120	1491		partial;old_locus_tag=Ot01g00120
mRNA		GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	21003	22493	+	XM_003074025.2		XP_003074071.2	Protein of unknown function DUF4336		9834931	OT_ostta01g00120	1491	1491	partial
CDS	with_protein	GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	21003	22493	+	XP_003074071.2		XM_003074025.2	Protein of unknown function DUF4336		9834931	OT_ostta01g00120	1491	496	
gene	protein_coding	GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	22562	23929	-						9832463	OT_ostta01g00130	1368		partial;old_locus_tag=Ot01g00130
mRNA		GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	22562	23929	-	XM_003074026.2		XP_003074072.2	Thioredoxin-like fold		9832463	OT_ostta01g00130	1368	1368	partial
CDS	with_protein	GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	22562	23929	-	XP_003074072.2		XM_003074026.2	Thioredoxin-like fold		9832463	OT_ostta01g00130	1368	455	
gene	protein_coding	GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	24244	25262	+						9832517	OT_ostta01g00140	1019		partial;old_locus_tag=Ot01g00140
mRNA		GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	24244	25262	+	XM_003074027.1		XP_003074073.1	HAD hydrolase, subfamily IA		9832517	OT_ostta01g00140	966	966	partial
CDS	with_protein	GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	24244	25262	+	XP_003074073.1		XM_003074027.1	HAD hydrolase, subfamily IA		9832517	OT_ostta01g00140	966	321	
gene	protein_coding	GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	25340	26524	-						9832491	OT_ostta01g00150	1185		partial;old_locus_tag=Ot01g00150
mRNA		GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	25340	26524	-	XM_003074028.1		XP_003074074.1	Phytanoyl-CoA dioxygenase		9832491	OT_ostta01g00150	1185	1185	partial
CDS	with_protein	GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	25340	26524	-	XP_003074074.1		XM_003074028.1	Phytanoyl-CoA dioxygenase		9832491	OT_ostta01g00150	1185	394	
gene	protein_coding	GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	26590	28893	-						9834740	OT_ostta01g00160	2304		partial;old_locus_tag=Ot01g00160
mRNA		GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	26590	28893	-	XM_003074029.1		XP_003074075.1	Dymeclin		9834740	OT_ostta01g00160	2304	2304	partial
CDS	with_protein	GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	26590	28893	-	XP_003074075.1		XM_003074029.1	Dymeclin		9834740	OT_ostta01g00160	2304	767	
gene	protein_coding	GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	29306	30093	+						34945476	OT_ostta01g00170	788		partial
mRNA		GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	29306	30093	+	XM_022985214.1		XP_022838116.1	unnamed product		34945476	OT_ostta01g00170	747	747	partial
CDS	with_protein	GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	29306	30093	+	XP_022838116.1		XM_022985214.1	unnamed product		34945476	OT_ostta01g00170	747	248	
gene	protein_coding	GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	30248	30493	+						9832475	OT_ostta01g00180	246		partial;old_locus_tag=Ot01g00180
mRNA		GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	30248	30493	+	XM_003074031.1		XP_003074077.1	unnamed product		9832475	OT_ostta01g00180	246	246	partial
CDS	with_protein	GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	30248	30493	+	XP_003074077.1		XM_003074031.1	unnamed product		9832475	OT_ostta01g00180	246	81	
gene	protein_coding	GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	30650	33039	-						9832490	OT_ostta01g00190	2390		partial;old_locus_tag=Ot01g00190
mRNA		GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	30650	33039	-	XM_022985215.1		XP_022838117.1	Histidine kinase-like ATPase, ATP-binding domain		9832490	OT_ostta01g00190	2241	2241	partial
CDS	with_protein	GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	30650	33039	-	XP_022838117.1		XM_022985215.1	Histidine kinase-like ATPase, ATP-binding domain		9832490	OT_ostta01g00190	2241	746	
gene	protein_coding	GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	33223	34098	+						9832488	OT_ostta01g00200	876		partial;old_locus_tag=Ot01g00210
mRNA		GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	33223	34098	+	XM_003074034.1		XP_003074080.1	UBA-like		9832488	OT_ostta01g00200	876	876	partial
CDS	with_protein	GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	33223	34098	+	XP_003074080.1		XM_003074034.1	UBA-like		9832488	OT_ostta01g00200	876	291	
gene	protein_coding	GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	34173	34653	-						9834762	OT_ostta01g00210	481		partial;old_locus_tag=Ot01g00220
mRNA		GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	34173	34653	-	XM_003074035.2		XP_003074081.2	Ribosomal protein L36		9834762	OT_ostta01g00210	315	315	partial
CDS	with_protein	GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	34173	34653	-	XP_003074081.2		XM_003074035.2	Ribosomal protein L36		9834762	OT_ostta01g00210	315	104	
gene	protein_coding	GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	34778	35476	+						9835010	OT_ostta01g00220	699		partial;old_locus_tag=Ot01g00230
mRNA		GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	34778	35476	+	XM_022985216.1		XP_022838118.1	unnamed product		9835010	OT_ostta01g00220	699	699	partial
CDS	with_protein	GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	34778	35476	+	XP_022838118.1		XM_022985216.1	unnamed product		9835010	OT_ostta01g00220	699	232	
gene	protein_coding	GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	35519	36202	-						9832485	OT_ostta01g00230	684		partial;old_locus_tag=Ot01g00240
mRNA		GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	35519	36202	-	XM_003074037.2		XP_003074083.2	unnamed product		9832485	OT_ostta01g00230	684	684	partial
CDS	with_protein	GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	35519	36202	-	XP_003074083.2		XM_003074037.2	unnamed product		9832485	OT_ostta01g00230	684	227	
gene	protein_coding	GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	36541	38037	-						9832470	OT_ostta01g00240	1497		partial;old_locus_tag=Ot01g00260
mRNA		GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	36541	38037	-	XM_003074039.1		XP_003074085.1	FAD linked oxidase, N-terminal		9832470	OT_ostta01g00240	1497	1497	partial
CDS	with_protein	GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	36541	38037	-	XP_003074085.1		XM_003074039.1	FAD linked oxidase, N-terminal		9832470	OT_ostta01g00240	1497	498	
gene	protein_coding	GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	38212	39087	+						9834760	OT_ostta01g00250	876		partial;old_locus_tag=Ot01g00270
mRNA		GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	38212	39087	+	XM_003074040.1		XP_003074086.1	Inositol polyphosphate kinase		9834760	OT_ostta01g00250	876	876	partial
CDS	with_protein	GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	38212	39087	+	XP_003074086.1		XM_003074040.1	Inositol polyphosphate kinase		9834760	OT_ostta01g00250	876	291	
gene	protein_coding	GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	39164	41344	-						9834853	OT_ostta01g00260	2181		partial;old_locus_tag=Ot01g00280
mRNA		GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	39164	41344	-	XM_003074041.1		XP_003074087.1	Tetratricopeptide repeat		9834853	OT_ostta01g00260	2181	2181	partial
CDS	with_protein	GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	39164	41344	-	XP_003074087.1		XM_003074041.1	Tetratricopeptide repeat		9834853	OT_ostta01g00260	2181	726	
gene	protein_coding	GCF_000214015.3	Primary Assembly	chromosome	1	NC_014426.2	41797	42285	+						9832504	OT_ostta01g00270	489		partial;old_locus_tag=Ot01g00290
