# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000002435.1	Primary Assembly	unplaced scaffold		NW_002477077.1	1848	2051	-						5696683	GL50803_123979	204		partial
mRNA		GCF_000002435.1	Primary Assembly	unplaced scaffold		NW_002477077.1	1848	2051	-	XM_001703781.1		XP_001703833.1	Hypothetical protein		5696683	GL50803_123979	204	204	partial
CDS	with_protein	GCF_000002435.1	Primary Assembly	unplaced scaffold		NW_002477077.1	1848	2051	-	XP_001703833.1		XM_001703781.1	hypothetical protein		5696683	GL50803_123979	204	67	
gene	protein_coding	GCF_000002435.1	Primary Assembly	unplaced scaffold		NW_002477078.1	464	1150	-						5696709	GL50803_15400	687		partial
mRNA		GCF_000002435.1	Primary Assembly	unplaced scaffold		NW_002477078.1	464	1150	-	XM_001703806.1		XP_001703858.1	VSP		5696709	GL50803_15400	687	687	partial
CDS	with_protein	GCF_000002435.1	Primary Assembly	unplaced scaffold		NW_002477078.1	464	1150	-	XP_001703858.1		XM_001703806.1	VSP		5696709	GL50803_15400	687	228	
gene	protein_coding	GCF_000002435.1	Primary Assembly	unplaced scaffold		NW_002477079.1	585	857	+						5696685	GL50803_122566	273		partial
mRNA		GCF_000002435.1	Primary Assembly	unplaced scaffold		NW_002477079.1	585	857	+	XM_001703783.1		XP_001703835.1	VSP		5696685	GL50803_122566	273	273	partial
CDS	with_protein	GCF_000002435.1	Primary Assembly	unplaced scaffold		NW_002477079.1	585	857	+	XP_001703835.1		XM_001703783.1	VSP		5696685	GL50803_122566	273	90	
gene	protein_coding	GCF_000002435.1	Primary Assembly	unplaced scaffold		NW_002477080.1	44	379	-						5696722	GL50803_118540	336		partial
mRNA		GCF_000002435.1	Primary Assembly	unplaced scaffold		NW_002477080.1	44	379	-	XM_001703819.1		XP_001703871.1	Hypothetical protein		5696722	GL50803_118540	336	336	partial
CDS	with_protein	GCF_000002435.1	Primary Assembly	unplaced scaffold		NW_002477080.1	44	379	-	XP_001703871.1		XM_001703819.1	hypothetical protein		5696722	GL50803_118540	336	111	
gene	protein_coding	GCF_000002435.1	Primary Assembly	unplaced scaffold		NW_002477080.1	685	1350	+						5696723	GL50803_100877	666		partial
mRNA		GCF_000002435.1	Primary Assembly	unplaced scaffold		NW_002477080.1	685	1350	+	XM_001703820.1		XP_001703872.1	Hypothetical protein		5696723	GL50803_100877	666	666	partial
CDS	with_protein	GCF_000002435.1	Primary Assembly	unplaced scaffold		NW_002477080.1	685	1350	+	XP_001703872.1		XM_001703820.1	hypothetical protein		5696723	GL50803_100877	666	221	
gene	protein_coding	GCF_000002435.1	Primary Assembly	unplaced scaffold		NW_002477081.1	1034	1168	-						5696729	GL50803_127066	135		partial
mRNA		GCF_000002435.1	Primary Assembly	unplaced scaffold		NW_002477081.1	1034	1168	-	XM_001703825.1		XP_001703877.1	Hypothetical protein		5696729	GL50803_127066	135	135	partial
CDS	with_protein	GCF_000002435.1	Primary Assembly	unplaced scaffold		NW_002477081.1	1034	1168	-	XP_001703877.1		XM_001703825.1	hypothetical protein		5696729	GL50803_127066	135	44	
gene	protein_coding	GCF_000002435.1	Primary Assembly	unplaced scaffold		NW_002477081.1	1098	1301	-						5696728	GL50803_127012	204		partial
mRNA		GCF_000002435.1	Primary Assembly	unplaced scaffold		NW_002477081.1	1098	1301	-	XM_001703826.1		XP_001703878.1	Hypothetical protein		5696728	GL50803_127012	204	204	partial
CDS	with_protein	GCF_000002435.1	Primary Assembly	unplaced scaffold		NW_002477081.1	1098	1301	-	XP_001703878.1		XM_001703826.1	hypothetical protein		5696728	GL50803_127012	204	67	
gene	protein_coding	GCF_000002435.1	Primary Assembly	unplaced scaffold		NW_002477081.1	3470	3907	+						5696733	GL50803_125104	438		partial
mRNA		GCF_000002435.1	Primary Assembly	unplaced scaffold		NW_002477081.1	3470	3907	+	XM_001703830.1		XP_001703882.1	Hypothetical protein		5696733	GL50803_125104	438	438	partial
CDS	with_protein	GCF_000002435.1	Primary Assembly	unplaced scaffold		NW_002477081.1	3470	3907	+	XP_001703882.1		XM_001703830.1	hypothetical protein		5696733	GL50803_125104	438	145	
gene	protein_coding	GCF_000002435.1	Primary Assembly	unplaced scaffold		NW_002477082.1	511	897	+						5696684	GL50803_136001	387		partial
mRNA		GCF_000002435.1	Primary Assembly	unplaced scaffold		NW_002477082.1	511	897	+	XM_001703782.1		XP_001703834.1	VSP		5696684	GL50803_136001	387	387	partial
CDS	with_protein	GCF_000002435.1	Primary Assembly	unplaced scaffold		NW_002477082.1	511	897	+	XP_001703834.1		XM_001703782.1	VSP		5696684	GL50803_136001	387	128	
gene	protein_coding	GCF_000002435.1	Primary Assembly	unplaced scaffold		NW_002477083.1	50	826	+						5696700	GL50803_14307	777		partial
mRNA		GCF_000002435.1	Primary Assembly	unplaced scaffold		NW_002477083.1	50	826	+	XM_001703797.1		XP_001703849.1	VSP		5696700	GL50803_14307	777	777	partial
CDS	with_protein	GCF_000002435.1	Primary Assembly	unplaced scaffold		NW_002477083.1	50	826	+	XP_001703849.1		XM_001703797.1	VSP		5696700	GL50803_14307	777	258	
