# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000328475.2	Primary Assembly	chromosome	1	NC_026478.1	1449	2078	-						23566058	UMAG_06480	630		partial
mRNA		GCF_000328475.2	Primary Assembly	chromosome	1	NC_026478.1	1449	2078	-	XM_011388287.1		XP_011386589.1	uncharacterized protein		23566058	UMAG_06480	630	630	partial
CDS	with_protein	GCF_000328475.2	Primary Assembly	chromosome	1	NC_026478.1	1449	2078	-	XP_011386589.1		XM_011388287.1	uncharacterized protein		23566058	UMAG_06480	630	209	
gene	protein_coding	GCF_000328475.2	Primary Assembly	chromosome	1	NC_026478.1	2632	4026	+						23566897	UMAG_10944	1395		partial
mRNA		GCF_000328475.2	Primary Assembly	chromosome	1	NC_026478.1	2632	4026	+	XM_011388399.1		XP_011386701.1	carboxylesterase-mitochondrial 37S ribosomal protein YmS2		23566897	UMAG_10944	1395	1395	partial
CDS	with_protein	GCF_000328475.2	Primary Assembly	chromosome	1	NC_026478.1	2632	4026	+	XP_011386701.1		XM_011388399.1	carboxylesterase-mitochondrial 37S ribosomal protein YmS2		23566897	UMAG_10944	1395	464	
gene	protein_coding	GCF_000328475.2	Primary Assembly	chromosome	1	NC_026478.1	4217	5416	-						23566898	UMAG_10945	1200		partial
mRNA		GCF_000328475.2	Primary Assembly	chromosome	1	NC_026478.1	4217	5416	-	XM_011388400.1		XP_011386702.1	uncharacterized protein		23566898	UMAG_10945	1200	1200	partial
CDS	with_protein	GCF_000328475.2	Primary Assembly	chromosome	1	NC_026478.1	4217	5416	-	XP_011386702.1		XM_011388400.1	uncharacterized protein		23566898	UMAG_10945	1200	399	
gene	protein_coding	GCF_000328475.2	Primary Assembly	chromosome	1	NC_026478.1	5950	7473	-						23566899	UMAG_10946	1524		partial
mRNA		GCF_000328475.2	Primary Assembly	chromosome	1	NC_026478.1	5950	7473	-	XM_011388401.1		XP_011386703.1	uncharacterized protein		23566899	UMAG_10946	1524	1524	partial
CDS	with_protein	GCF_000328475.2	Primary Assembly	chromosome	1	NC_026478.1	5950	7473	-	XP_011386703.1		XM_011388401.1	uncharacterized protein		23566899	UMAG_10946	1524	507	
gene	protein_coding	GCF_000328475.2	Primary Assembly	chromosome	1	NC_026478.1	10941	11939	+						23561423	UMAG_00001	999		partial
mRNA		GCF_000328475.2	Primary Assembly	chromosome	1	NC_026478.1	10941	11939	+	XM_011387687.1		XP_011385989.1	uncharacterized protein		23561423	UMAG_00001	999	999	partial
CDS	with_protein	GCF_000328475.2	Primary Assembly	chromosome	1	NC_026478.1	10941	11939	+	XP_011385989.1		XM_011387687.1	uncharacterized protein		23561423	UMAG_00001	999	332	
gene	protein_coding	GCF_000328475.2	Primary Assembly	chromosome	1	NC_026478.1	12235	13887	-						23561424	UMAG_00002	1653		partial
mRNA		GCF_000328475.2	Primary Assembly	chromosome	1	NC_026478.1	12235	13887	-	XM_011387688.1		XP_011385990.1	uncharacterized protein		23561424	UMAG_00002	1653	1653	partial
CDS	with_protein	GCF_000328475.2	Primary Assembly	chromosome	1	NC_026478.1	12235	13887	-	XP_011385990.1		XM_011387688.1	uncharacterized protein		23561424	UMAG_00002	1653	550	
gene	protein_coding	GCF_000328475.2	Primary Assembly	chromosome	1	NC_026478.1	14650	16605	+						23561425	UMAG_00003	1956		partial
mRNA		GCF_000328475.2	Primary Assembly	chromosome	1	NC_026478.1	14650	16605	+	XM_011387689.1		XP_011385991.1	uncharacterized protein		23561425	UMAG_00003	1956	1956	partial
CDS	with_protein	GCF_000328475.2	Primary Assembly	chromosome	1	NC_026478.1	14650	16605	+	XP_011385991.1		XM_011387689.1	uncharacterized protein		23561425	UMAG_00003	1956	651	
gene	protein_coding	GCF_000328475.2	Primary Assembly	chromosome	1	NC_026478.1	17204	18268	-						23567805	UMAG_12014	1065		partial
mRNA		GCF_000328475.2	Primary Assembly	chromosome	1	NC_026478.1	17204	18268	-	XM_011388520.1		XP_011386822.1	uncharacterized protein		23567805	UMAG_12014	1065	1065	partial
CDS	with_protein	GCF_000328475.2	Primary Assembly	chromosome	1	NC_026478.1	17204	18268	-	XP_011386822.1		XM_011388520.1	uncharacterized protein		23567805	UMAG_12014	1065	354	
gene	protein_coding	GCF_000328475.2	Primary Assembly	chromosome	1	NC_026478.1	20239	21946	-						23561426	UMAG_00005	1708		partial
mRNA		GCF_000328475.2	Primary Assembly	chromosome	1	NC_026478.1	20239	21946	-	XM_011387690.1		XP_011385992.1	putative Benzoate 4-monooxygenase cytochrome P450		23561426	UMAG_00005	1605	1605	partial
CDS	with_protein	GCF_000328475.2	Primary Assembly	chromosome	1	NC_026478.1	20239	21946	-	XP_011385992.1		XM_011387690.1	putative Benzoate 4-monooxygenase cytochrome P450		23561426	UMAG_00005	1605	534	
gene	protein_coding	GCF_000328475.2	Primary Assembly	chromosome	1	NC_026478.1	23287	25596	-						23561427	UMAG_00006	2310		partial
mRNA		GCF_000328475.2	Primary Assembly	chromosome	1	NC_026478.1	23287	25596	-	XM_011387691.1		XP_011385993.1	uncharacterized protein		23561427	UMAG_00006	2310	2310	partial
CDS	with_protein	GCF_000328475.2	Primary Assembly	chromosome	1	NC_026478.1	23287	25596	-	XP_011385993.1		XM_011387691.1	uncharacterized protein		23561427	UMAG_00006	2310	769	
gene	protein_coding	GCF_000328475.2	Primary Assembly	chromosome	1	NC_026478.1	26549	27403	+						23561428	UMAG_00007	855		partial
mRNA		GCF_000328475.2	Primary Assembly	chromosome	1	NC_026478.1	26549	27403	+	XM_011387692.1		XP_011385994.1	enoyl-CoA hydratase PHS1		23561428	UMAG_00007	855	855	partial
CDS	with_protein	GCF_000328475.2	Primary Assembly	chromosome	1	NC_026478.1	26549	27403	+	XP_011385994.1		XM_011387692.1	enoyl-CoA hydratase PHS1		23561428	UMAG_00007	855	284	
gene	protein_coding	GCF_000328475.2	Primary Assembly	chromosome	1	NC_026478.1	27615	28781	-						23561429	UMAG_00008	1167		partial
mRNA		GCF_000328475.2	Primary Assembly	chromosome	1	NC_026478.1	27615	28781	-	XM_011387693.1		XP_011385995.1	uncharacterized protein		23561429	UMAG_00008	1167	1167	partial
CDS	with_protein	GCF_000328475.2	Primary Assembly	chromosome	1	NC_026478.1	27615	28781	-	XP_011385995.1		XM_011387693.1	uncharacterized protein		23561429	UMAG_00008	1167	388	
gene	protein_coding	GCF_000328475.2	Primary Assembly	chromosome	1	NC_026478.1	29350	30055	-						23561430	UMAG_00009	706		partial
mRNA		GCF_000328475.2	Primary Assembly	chromosome	1	NC_026478.1	29350	30055	-	XM_011387694.1		XP_011385996.1	translation machinery-associated protein 20		23561430	UMAG_00009	594	594	partial
CDS	with_protein	GCF_000328475.2	Primary Assembly	chromosome	1	NC_026478.1	29350	30055	-	XP_011385996.1		XM_011387694.1	translation machinery-associated protein 20		23561430	UMAG_00009	594	197	
gene	protein_coding	GCF_000328475.2	Primary Assembly	chromosome	1	NC_026478.1	30759	32576	+						23567870	UMAG_12107	1818		partial
mRNA		GCF_000328475.2	Primary Assembly	chromosome	1	NC_026478.1	30759	32576	+	XM_011388532.1		XP_011386834.1	uncharacterized protein		23567870	UMAG_12107	1818	1818	partial
CDS	with_protein	GCF_000328475.2	Primary Assembly	chromosome	1	NC_026478.1	30759	32576	+	XP_011386834.1		XM_011388532.1	uncharacterized protein		23567870	UMAG_12107	1818	605	
gene	protein_coding	GCF_000328475.2	Primary Assembly	chromosome	1	NC_026478.1	33530	35215	+						23561431	UMAG_00011	1686		partial
mRNA		GCF_000328475.2	Primary Assembly	chromosome	1	NC_026478.1	33530	35215	+	XM_011387695.1		XP_011385997.1	putative amidase		23561431	UMAG_00011	1686	1686	partial
CDS	with_protein	GCF_000328475.2	Primary Assembly	chromosome	1	NC_026478.1	33530	35215	+	XP_011385997.1		XM_011387695.1	putative amidase		23561431	UMAG_00011	1686	561	
gene	protein_coding	GCF_000328475.2	Primary Assembly	chromosome	1	NC_026478.1	35332	35961	-						23561432	UMAG_00012	630		partial
mRNA		GCF_000328475.2	Primary Assembly	chromosome	1	NC_026478.1	35332	35961	-	XM_011387696.1		XP_011385998.1	uncharacterized protein		23561432	UMAG_00012	630	630	partial
CDS	with_protein	GCF_000328475.2	Primary Assembly	chromosome	1	NC_026478.1	35332	35961	-	XP_011385998.1		XM_011387696.1	uncharacterized protein		23561432	UMAG_00012	630	209	
gene	protein_coding	GCF_000328475.2	Primary Assembly	chromosome	1	NC_026478.1	36407	37291	-						23561433	UMAG_00013	885		partial
mRNA		GCF_000328475.2	Primary Assembly	chromosome	1	NC_026478.1	36407	37291	-	XM_011387697.1		XP_011385999.1	uncharacterized protein		23561433	UMAG_00013	885	885	partial
