# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000149245.1	Primary Assembly	chromosome	1	NC_026745.1	100	5645	-						23887952	CNAG_04548	5546		partial
mRNA		GCF_000149245.1	Primary Assembly	chromosome	1	NC_026745.1	100	5645	-	XM_012190751.1		XP_012046141.1	hypothetical protein		23887952	CNAG_04548	5048	5048	partial
CDS	with_protein	GCF_000149245.1	Primary Assembly	chromosome	1	NC_026745.1	168	5645	-	XP_012046141.1		XM_012190751.1	hypothetical protein		23887952	CNAG_04548	4980	1659	
gene	protein_coding	GCF_000149245.1	Primary Assembly	chromosome	1	NC_026745.1	5928	7982	-						23890160	CNAG_07303	2055		
mRNA		GCF_000149245.1	Primary Assembly	chromosome	1	NC_026745.1	5928	7982	-	XM_012191623.1		XP_012047013.1	hypothetical protein, variant		23890160	CNAG_07303	1921	1921	
mRNA		GCF_000149245.1	Primary Assembly	chromosome	1	NC_026745.1	5928	7982	-	XM_012191622.1		XP_012047012.1	hypothetical protein		23890160	CNAG_07303	1926	1926	
CDS	with_protein	GCF_000149245.1	Primary Assembly	chromosome	1	NC_026745.1	6209	7769	-	XP_012047012.1		XM_012191622.1	hypothetical protein		23890160	CNAG_07303	1503	500	
CDS	with_protein	GCF_000149245.1	Primary Assembly	chromosome	1	NC_026745.1	6209	7769	-	XP_012047013.1		XM_012191623.1	hypothetical protein, variant		23890160	CNAG_07303	1503	500	
gene	protein_coding	GCF_000149245.1	Primary Assembly	chromosome	1	NC_026745.1	8766	9603	-						23890161	CNAG_07304	838		
mRNA		GCF_000149245.1	Primary Assembly	chromosome	1	NC_026745.1	8766	9603	-	XM_012190752.1		XP_012046142.1	hypothetical protein		23890161	CNAG_07304	602	602	
CDS	with_protein	GCF_000149245.1	Primary Assembly	chromosome	1	NC_026745.1	9126	9480	-	XP_012046142.1		XM_012190752.1	hypothetical protein		23890161	CNAG_07304	291	96	
gene	protein_coding	GCF_000149245.1	Primary Assembly	chromosome	1	NC_026745.1	10835	11664	-						23883873	CNAG_00001	830		
mRNA		GCF_000149245.1	Primary Assembly	chromosome	1	NC_026745.1	10835	11664	-	XM_012190753.1		XP_012046143.1	hypothetical protein		23883873	CNAG_00001	568	568	
CDS	with_protein	GCF_000149245.1	Primary Assembly	chromosome	1	NC_026745.1	11060	11501	-	XP_012046143.1		XM_012190753.1	hypothetical protein		23883873	CNAG_00001	327	108	
gene	protein_coding	GCF_000149245.1	Primary Assembly	chromosome	1	NC_026745.1	11773	12393	-						23890162	CNAG_07305	621		partial
mRNA		GCF_000149245.1	Primary Assembly	chromosome	1	NC_026745.1	11773	12393	-	XM_012190754.1		XP_012046144.1	hypothetical protein		23890162	CNAG_07305	551	551	partial
CDS	with_protein	GCF_000149245.1	Primary Assembly	chromosome	1	NC_026745.1	11838	12393	-	XP_012046144.1		XM_012190754.1	hypothetical protein		23890162	CNAG_07305	486	161	
gene	protein_coding	GCF_000149245.1	Primary Assembly	chromosome	1	NC_026745.1	12789	13877	+						23883874	CNAG_00002	1089		
mRNA		GCF_000149245.1	Primary Assembly	chromosome	1	NC_026745.1	12789	13877	+	XM_012190755.1		XP_012046145.1	hypothetical protein		23883874	CNAG_00002	835	835	
CDS	with_protein	GCF_000149245.1	Primary Assembly	chromosome	1	NC_026745.1	12800	13578	+	XP_012046145.1		XM_012190755.1	hypothetical protein		23883874	CNAG_00002	525	174	
gene	protein_coding	GCF_000149245.1	Primary Assembly	chromosome	1	NC_026745.1	14025	16421	-						23883875	CNAG_00003	2397		
