# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000981445.1	Primary Assembly	chromosome	I	NC_027216.1	3013	4152	-						24562213	BBBOND_0100010	1140		partial
mRNA		GCF_000981445.1	Primary Assembly	chromosome	I	NC_027216.1	3013	4152	-	XM_012910404.1		XP_012765858.1	hypothetical protein, conserved		24562213	BBBOND_0100010	1140	1140	partial
CDS	with_protein	GCF_000981445.1	Primary Assembly	chromosome	I	NC_027216.1	3013	4152	-	XP_012765858.1		XM_012910404.1	hypothetical protein, conserved		24562213	BBBOND_0100010	1140	379	
gene	protein_coding	GCF_000981445.1	Primary Assembly	chromosome	I	NC_027216.1	4229	4531	-						24562214	BBBOND_0100020	303		partial
mRNA		GCF_000981445.1	Primary Assembly	chromosome	I	NC_027216.1	4229	4531	-	XM_012910405.1		XP_012765859.1	hypothetical protein		24562214	BBBOND_0100020	303	303	partial
CDS	with_protein	GCF_000981445.1	Primary Assembly	chromosome	I	NC_027216.1	4229	4531	-	XP_012765859.1		XM_012910405.1	hypothetical protein		24562214	BBBOND_0100020	303	100	
gene	protein_coding	GCF_000981445.1	Primary Assembly	chromosome	I	NC_027216.1	5681	7258	-						24562215	BBBOND_0100030	1578		partial
mRNA		GCF_000981445.1	Primary Assembly	chromosome	I	NC_027216.1	5681	7258	-	XM_012910406.1		XP_012765860.1	cAMP-specific phosphodiesterase, putative		24562215	BBBOND_0100030	1578	1578	partial
CDS	with_protein	GCF_000981445.1	Primary Assembly	chromosome	I	NC_027216.1	5681	7258	-	XP_012765860.1		XM_012910406.1	cAMP-specific phosphodiesterase, putative		24562215	BBBOND_0100030	1578	525	
gene	protein_coding	GCF_000981445.1	Primary Assembly	chromosome	I	NC_027216.1	7853	8062	-						24562216	BBBOND_0100040	210		partial
mRNA		GCF_000981445.1	Primary Assembly	chromosome	I	NC_027216.1	7853	8062	-	XM_012910407.1		XP_012765861.1	hypothetical protein		24562216	BBBOND_0100040	210	210	partial
CDS	with_protein	GCF_000981445.1	Primary Assembly	chromosome	I	NC_027216.1	7853	8062	-	XP_012765861.1		XM_012910407.1	hypothetical protein		24562216	BBBOND_0100040	210	69	
gene	protein_coding	GCF_000981445.1	Primary Assembly	chromosome	I	NC_027216.1	8443	11004	-						24562217	BBBOND_0100050	2562		partial
mRNA		GCF_000981445.1	Primary Assembly	chromosome	I	NC_027216.1	8443	11004	-	XM_012910408.1		XP_012765862.1	FabD/lysophospholipase like protein		24562217	BBBOND_0100050	2562	2562	partial
CDS	with_protein	GCF_000981445.1	Primary Assembly	chromosome	I	NC_027216.1	8443	11004	-	XP_012765862.1		XM_012910408.1	FabD/lysophospholipase like protein		24562217	BBBOND_0100050	2562	853	
gene	protein_coding	GCF_000981445.1	Primary Assembly	chromosome	I	NC_027216.1	12544	18440	+						24562218	BBBOND_0100060	5897		partial
mRNA		GCF_000981445.1	Primary Assembly	chromosome	I	NC_027216.1	12544	18440	+	XM_012910409.1		XP_012765863.1	hypothetical protein, conserved		24562218	BBBOND_0100060	5862	5862	partial
CDS	with_protein	GCF_000981445.1	Primary Assembly	chromosome	I	NC_027216.1	12544	18440	+	XP_012765863.1		XM_012910409.1	hypothetical protein, conserved		24562218	BBBOND_0100060	5862	1953	
gene	protein_coding	GCF_000981445.1	Primary Assembly	chromosome	I	NC_027216.1	18532	19973	-						24562219	BBBOND_0100070	1442		partial
mRNA		GCF_000981445.1	Primary Assembly	chromosome	I	NC_027216.1	18532	19973	-	XM_012910410.1		XP_012765864.1	peptide chain release factor subunit 1, putative		24562219	BBBOND_0100070	1296	1296	partial
CDS	with_protein	GCF_000981445.1	Primary Assembly	chromosome	I	NC_027216.1	18532	19973	-	XP_012765864.1		XM_012910410.1	peptide chain release factor subunit 1, putative		24562219	BBBOND_0100070	1296	431	
gene	protein_coding	GCF_000981445.1	Primary Assembly	chromosome	I	NC_027216.1	20585	20923	+						24562220	BBBOND_0100080	339		partial
mRNA		GCF_000981445.1	Primary Assembly	chromosome	I	NC_027216.1	20585	20923	+	XM_012910411.1		XP_012765865.1	Mitochondrial import inner membrane translocase subunit tim16		24562220	BBBOND_0100080	339	339	partial
CDS	with_protein	GCF_000981445.1	Primary Assembly	chromosome	I	NC_027216.1	20585	20923	+	XP_012765865.1		XM_012910411.1	Mitochondrial import inner membrane translocase subunit tim16		24562220	BBBOND_0100080	339	112	
gene	protein_coding	GCF_000981445.1	Primary Assembly	chromosome	I	NC_027216.1	20934	23627	+						24562221	BBBOND_0100090	2694		partial
mRNA		GCF_000981445.1	Primary Assembly	chromosome	I	NC_027216.1	20934	23627	+	XM_012910412.1		XP_012765866.1	hypothetical protein, conserved		24562221	BBBOND_0100090	2694	2694	partial
CDS	with_protein	GCF_000981445.1	Primary Assembly	chromosome	I	NC_027216.1	20934	23627	+	XP_012765866.1		XM_012910412.1	hypothetical protein, conserved		24562221	BBBOND_0100090	2694	897	
gene	protein_coding	GCF_000981445.1	Primary Assembly	chromosome	I	NC_027216.1	23795	25759	-						24562222	BBBOND_0100100	1965		partial
mRNA		GCF_000981445.1	Primary Assembly	chromosome	I	NC_027216.1	23795	25759	-	XM_012910413.1		XP_012765867.1	heat shock protein 70, putative		24562222	BBBOND_0100100	1965	1965	partial
CDS	with_protein	GCF_000981445.1	Primary Assembly	chromosome	I	NC_027216.1	23795	25759	-	XP_012765867.1		XM_012910413.1	heat shock protein 70, putative		24562222	BBBOND_0100100	1965	654	
gene	protein_coding	GCF_000981445.1	Primary Assembly	chromosome	I	NC_027216.1	26641	27124	+						24562223	BBBOND_0100110	484		partial
mRNA		GCF_000981445.1	Primary Assembly	chromosome	I	NC_027216.1	26641	27124	+	XM_012910414.1		XP_012765868.1	hypothetical protein		24562223	BBBOND_0100110	411	411	partial
CDS	with_protein	GCF_000981445.1	Primary Assembly	chromosome	I	NC_027216.1	26641	27124	+	XP_012765868.1		XM_012910414.1	hypothetical protein		24562223	BBBOND_0100110	411	136	
gene	protein_coding	GCF_000981445.1	Primary Assembly	chromosome	I	NC_027216.1	27205	28351	+						24562224	BBBOND_0100120	1147		partial
mRNA		GCF_000981445.1	Primary Assembly	chromosome	I	NC_027216.1	27205	28351	+	XM_012910415.1		XP_012765869.1	hypothetical protein, conserved		24562224	BBBOND_0100120	1116	1116	partial
CDS	with_protein	GCF_000981445.1	Primary Assembly	chromosome	I	NC_027216.1	27205	28351	+	XP_012765869.1		XM_012910415.1	hypothetical protein, conserved		24562224	BBBOND_0100120	1116	371	
gene	protein_coding	GCF_000981445.1	Primary Assembly	chromosome	I	NC_027216.1	28699	29037	-						24562225	BBBOND_0100130	339		partial
mRNA		GCF_000981445.1	Primary Assembly	chromosome	I	NC_027216.1	28699	29037	-	XM_012910416.1		XP_012765870.1	ribosomal protein S14, putative		24562225	BBBOND_0100130	339	339	partial
CDS	with_protein	GCF_000981445.1	Primary Assembly	chromosome	I	NC_027216.1	28699	29037	-	XP_012765870.1		XM_012910416.1	ribosomal protein S14, putative		24562225	BBBOND_0100130	339	112	
gene	protein_coding	GCF_000981445.1	Primary Assembly	chromosome	I	NC_027216.1	29121	30428	-						24562226	BBBOND_0100140	1308		partial
mRNA		GCF_000981445.1	Primary Assembly	chromosome	I	NC_027216.1	29121	30428	-	XM_012910417.1		XP_012765871.1	hypothetical protein, conserved		24562226	BBBOND_0100140	1020	1020	partial
CDS	with_protein	GCF_000981445.1	Primary Assembly	chromosome	I	NC_027216.1	29121	30428	-	XP_012765871.1		XM_012910417.1	hypothetical protein, conserved		24562226	BBBOND_0100140	1020	339	
gene	protein_coding	GCF_000981445.1	Primary Assembly	chromosome	I	NC_027216.1	30851	31165	+						24562227	BBBOND_0100150	315		partial
mRNA		GCF_000981445.1	Primary Assembly	chromosome	I	NC_027216.1	30851	31165	+	XM_012910418.1		XP_012765872.1	hypothetical protein		24562227	BBBOND_0100150	315	315	partial
CDS	with_protein	GCF_000981445.1	Primary Assembly	chromosome	I	NC_027216.1	30851	31165	+	XP_012765872.1		XM_012910418.1	hypothetical protein		24562227	BBBOND_0100150	315	104	
gene	protein_coding	GCF_000981445.1	Primary Assembly	chromosome	I	NC_027216.1	32207	35071	+						24562228	BBBOND_0100160	2865		partial
mRNA		GCF_000981445.1	Primary Assembly	chromosome	I	NC_027216.1	32207	35071	+	XM_012910419.1		XP_012765873.1	hypothetical protein		24562228	BBBOND_0100160	2865	2865	partial
CDS	with_protein	GCF_000981445.1	Primary Assembly	chromosome	I	NC_027216.1	32207	35071	+	XP_012765873.1		XM_012910419.1	hypothetical protein		24562228	BBBOND_0100160	2865	954	
gene	protein_coding	GCF_000981445.1	Primary Assembly	chromosome	I	NC_027216.1	36274	36837	+						24562229	BBBOND_0100170	564		partial
mRNA		GCF_000981445.1	Primary Assembly	chromosome	I	NC_027216.1	36274	36837	+	XM_012910420.1		XP_012765874.1	hypothetical protein		24562229	BBBOND_0100170	564	564	partial
CDS	with_protein	GCF_000981445.1	Primary Assembly	chromosome	I	NC_027216.1	36274	36837	+	XP_012765874.1		XM_012910420.1	hypothetical protein		24562229	BBBOND_0100170	564	187	
