# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000091205.1	Primary Assembly	chromosome	1	NC_010127.1	3375	6125	-						16992110	CYME_CMA001C	2751		partial
mRNA		GCF_000091205.1	Primary Assembly	chromosome	1	NC_010127.1	3375	6125	-	XM_005534957.1		XP_005535014.1	similar to trefoil factor		16992110	CYME_CMA001C	2751	2751	partial
CDS	with_protein	GCF_000091205.1	Primary Assembly	chromosome	1	NC_010127.1	3375	6125	-	XP_005535014.1		XM_005534957.1	similar to trefoil factor		16992110	CYME_CMA001C	2751	916	
gene	protein_coding	GCF_000091205.1	Primary Assembly	chromosome	1	NC_010127.1	13867	14238	+						16992107	CYME_CMA004C	372		partial
mRNA		GCF_000091205.1	Primary Assembly	chromosome	1	NC_010127.1	13867	14238	+	XM_005534958.1		XP_005535015.1	hypothetical protein, conserved		16992107	CYME_CMA004C	372	372	partial
CDS	with_protein	GCF_000091205.1	Primary Assembly	chromosome	1	NC_010127.1	13867	14238	+	XP_005535015.1		XM_005534958.1	hypothetical protein, conserved		16992107	CYME_CMA004C	372	123	
gene	protein_coding	GCF_000091205.1	Primary Assembly	chromosome	1	NC_010127.1	14626	15858	-						16992106	CYME_CMA005C	1233		partial
mRNA		GCF_000091205.1	Primary Assembly	chromosome	1	NC_010127.1	14626	15858	-	XM_005534959.1		XP_005535016.1	calcium-binding mitochondrial carrier Aralar		16992106	CYME_CMA005C	1233	1233	partial
CDS	with_protein	GCF_000091205.1	Primary Assembly	chromosome	1	NC_010127.1	14626	15858	-	XP_005535016.1		XM_005534959.1	calcium-binding mitochondrial carrier Aralar		16992106	CYME_CMA005C	1233	410	
gene	protein_coding	GCF_000091205.1	Primary Assembly	chromosome	1	NC_010127.1	18552	19760	-						16992105	CYME_CMA007C	1209		partial
