# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_900002335.2	Primary Assembly	chromosome	1	NC_030101.1	1908	3512	+						3487066	PCHAS_010010	1605		partial;old_locus_tag=PC402960.00.0
mRNA		GCF_900002335.2	Primary Assembly	chromosome	1	NC_030101.1	1908	3512	+	XM_016797435.1		XP_016652954.1	fam-a protein		3487066	PCHAS_010010	903	903	partial
CDS	with_protein	GCF_900002335.2	Primary Assembly	chromosome	1	NC_030101.1	1908	3512	+	XP_016652954.1		XM_016797435.1	fam-a protein		3487066	PCHAS_010010	903	300	
gene	protein_coding	GCF_900002335.2	Primary Assembly	chromosome	1	NC_030101.1	4491	5585	-						27794529	PCHAS_010020	1095		partial
mRNA		GCF_900002335.2	Primary Assembly	chromosome	1	NC_030101.1	4491	5585	-	XM_016797442.1		XP_016652955.1	CIR protein		27794529	PCHAS_010020	894	894	partial
CDS	with_protein	GCF_900002335.2	Primary Assembly	chromosome	1	NC_030101.1	4491	5585	-	XP_016652955.1		XM_016797442.1	CIR protein		27794529	PCHAS_010020	894	297	
gene	protein_coding	GCF_900002335.2	Primary Assembly	chromosome	1	NC_030101.1	8274	9419	-						3493763	PCHAS_010030	1146		partial;old_locus_tag=PC500050.00.0
mRNA		GCF_900002335.2	Primary Assembly	chromosome	1	NC_030101.1	8274	9419	-	XM_016797449.1		XP_016652956.1	CIR protein		3493763	PCHAS_010030	903	903	partial
CDS	with_protein	GCF_900002335.2	Primary Assembly	chromosome	1	NC_030101.1	8274	9419	-	XP_016652956.1		XM_016797449.1	CIR protein		3493763	PCHAS_010030	903	300	
gene	protein_coding	GCF_900002335.2	Primary Assembly	chromosome	1	NC_030101.1	11233	13523	-						3497875	PCHAS_010040	2291		partial;old_locus_tag=PC106057.00.0
mRNA		GCF_900002335.2	Primary Assembly	chromosome	1	NC_030101.1	11233	13523	-	XM_016797454.1		XP_016652957.1	CIR protein		3497875	PCHAS_010040	2061	2061	partial
CDS	with_protein	GCF_900002335.2	Primary Assembly	chromosome	1	NC_030101.1	11233	13523	-	XP_016652957.1		XM_016797454.1	CIR protein		3497875	PCHAS_010040	2061	686	
gene	protein_coding	GCF_900002335.2	Primary Assembly	chromosome	1	NC_030101.1	17600	19220	+						27794530	PCHAS_010050	1621		partial
mRNA		GCF_900002335.2	Primary Assembly	chromosome	1	NC_030101.1	17600	19220	+	XM_016797461.1		XP_016652958.1	fam-a protein		27794530	PCHAS_010050	921	921	partial
CDS	with_protein	GCF_900002335.2	Primary Assembly	chromosome	1	NC_030101.1	17600	19220	+	XP_016652958.1		XM_016797461.1	fam-a protein		27794530	PCHAS_010050	921	306	
gene	protein_coding	GCF_900002335.2	Primary Assembly	chromosome	1	NC_030101.1	25259	29104	+						3497021	PCHAS_010060	3846		partial;old_locus_tag=PC105513.00.0
mRNA		GCF_900002335.2	Primary Assembly	chromosome	1	NC_030101.1	25259	29104	+	XM_738817.2		XP_743910.2	conserved rodent malaria protein, unknown function		3497021	PCHAS_010060	3846	3846	partial
CDS	with_protein	GCF_900002335.2	Primary Assembly	chromosome	1	NC_030101.1	25259	29104	+	XP_743910.2		XM_738817.2	conserved rodent malaria protein, unknown function		3497021	PCHAS_010060	3846	1281	
gene	protein_coding	GCF_900002335.2	Primary Assembly	chromosome	1	NC_030101.1	35367	36137	-						27794531	PCHAS_010070	771		partial
mRNA		GCF_900002335.2	Primary Assembly	chromosome	1	NC_030101.1	35367	36137	-	XM_016797472.1		XP_016652959.1	fam-c protein		27794531	PCHAS_010070	606	606	partial
CDS	with_protein	GCF_900002335.2	Primary Assembly	chromosome	1	NC_030101.1	35367	36137	-	XP_016652959.1		XM_016797472.1	fam-c protein		27794531	PCHAS_010070	606	201	
gene	protein_coding	GCF_900002335.2	Primary Assembly	chromosome	1	NC_030101.1	37874	38619	-						3487184	PCHAS_010080	746		partial;old_locus_tag=PC401930.00.0
mRNA		GCF_900002335.2	Primary Assembly	chromosome	1	NC_030101.1	37874	38619	-	XM_016797476.1		XP_016652960.1	CIR protein		3487184	PCHAS_010080	450	450	partial
CDS	with_protein	GCF_900002335.2	Primary Assembly	chromosome	1	NC_030101.1	37874	38619	-	XP_016652960.1		XM_016797476.1	CIR protein		3487184	PCHAS_010080	450	149	
gene	protein_coding	GCF_900002335.2	Primary Assembly	chromosome	1	NC_030101.1	40042	41212	+						3490899	PCHAS_010090	1171		partial;old_locus_tag=PC105304.00.0
mRNA		GCF_900002335.2	Primary Assembly	chromosome	1	NC_030101.1	40042	41212	+	XM_732777.2		XP_737870.2	Plasmodium exported protein, unknown function		3490899	PCHAS_010090	1002	1002	partial
CDS	with_protein	GCF_900002335.2	Primary Assembly	chromosome	1	NC_030101.1	40042	41212	+	XP_737870.2		XM_732777.2	Plasmodium exported protein, unknown function		3490899	PCHAS_010090	1002	333	
gene	protein_coding	GCF_900002335.2	Primary Assembly	chromosome	1	NC_030101.1	43934	45385	+						3492235	PCHAS_010100	1452		partial;old_locus_tag=PC000118.03.0
mRNA		GCF_900002335.2	Primary Assembly	chromosome	1	NC_030101.1	43934	45385	+	XM_016797488.1		XP_016652961.1	lysophospholipase, putative		3492235	PCHAS_010100	1452	1452	partial
CDS	with_protein	GCF_900002335.2	Primary Assembly	chromosome	1	NC_030101.1	43934	45385	+	XP_016652961.1		XM_016797488.1	lysophospholipase, putative		3492235	PCHAS_010100	1452	483	
gene	protein_coding	GCF_900002335.2	Primary Assembly	chromosome	1	NC_030101.1	47320	49277	+						3492848	PCHAS_010110	1958		partial;old_locus_tag=PC102238.00.0
mRNA		GCF_900002335.2	Primary Assembly	chromosome	1	NC_030101.1	47320	49277	+	XM_016797494.1		XP_016652962.1	reticulocyte binding protein, putative		3492848	PCHAS_010110	1857	1857	partial
CDS	with_protein	GCF_900002335.2	Primary Assembly	chromosome	1	NC_030101.1	47320	49277	+	XP_016652962.1		XM_016797494.1	reticulocyte binding protein, putative		3492848	PCHAS_010110	1857	618	
